run_id,size_N,N,M,alpha,Q_W_mean,Q_X_mean,Q_Y_mean,FIT_Y_mean,R_W_mean,R_X_mean
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,0.0,4.203895392974451e-45,5.605193857299268e-45,0.0,0.0,0.0,0.0
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,0.3,0.010476987808942795,0.009972013533115387,0.04941745102405548,0.09097695350646973,0.024911705404520035,0.024911705404520035
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,0.6,0.05274183303117752,0.05485830083489418,0.17843280732631683,0.27866774797439575,0.13503508269786835,0.13503506779670715
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,0.75,0.09258045256137848,0.09573697298765182,0.2203523814678192,0.3220166563987732,0.18850331008434296,0.18850329518318176
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,0.85,0.11402438580989838,0.11888935416936874,0.2466721385717392,0.3433496952056885,0.2251632958650589,0.2251633256673813
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,0.9,0.11981286108493805,0.1221005842089653,0.25755229592323303,0.35122090578079224,0.24450431764125824,0.24450433254241943
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,0.95,0.12564371526241302,0.13450771570205688,0.27722838521003723,0.37309950590133667,0.2643449008464813,0.2643449008464813
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,1.0,0.16693830490112305,0.16988727450370789,0.291771799325943,0.3839194178581238,0.28214123845100403,0.28214123845100403
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,1.05,0.189758762717247,0.19481222331523895,0.30680274963378906,0.3959648609161377,0.3017105460166931,0.3017105758190155
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,1.1,0.21441693603992462,0.21982420980930328,0.31534940004348755,0.40062910318374634,0.31930163502693176,0.319301575422287
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,1.15,0.21992748975753784,0.22658735513687134,0.32962432503700256,0.4104757308959961,0.33823466300964355,0.33823466300964355
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,1.2,0.2488805651664734,0.2583743631839752,0.34856435656547546,0.42788732051849365,0.35926470160484314,0.35926464200019836
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,1.25,0.2888602018356323,0.29618972539901733,0.3725120723247528,0.45155370235443115,0.3802632689476013,0.3802632689476013
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,1.3,0.3066025376319885,0.3164060413837433,0.3910702168941498,0.4664626121520996,0.3993270993232727,0.39932742714881897
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,1.4,0.3713470995426178,0.38043275475502014,0.42401227355003357,0.4889051914215088,0.44313016533851624,0.4432138502597809
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,1.5,0.4395892918109894,0.4520348608493805,0.4784485399723053,0.5383539199829102,0.495623916387558,0.49519240856170654
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,1.6,0.5883846282958984,0.5985877513885498,0.590264081954956,0.6643896102905273,0.5789827704429626,0.5789204239845276
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,1.7,0.6898080706596375,0.702767550945282,0.6957607269287109,0.7455872297286987,0.6837495565414429,0.6837863922119141
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,1.8,0.7813301682472229,0.794777512550354,0.7899771332740784,0.8137913346290588,0.787820041179657,0.7878152132034302
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,1.9,0.8879048824310303,0.9019705653190613,0.9017574191093445,0.9107937812805176,0.8893364071846008,0.8893630504608154
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,2.0,0.9770379662513733,0.9923843741416931,0.9936718940734863,0.9955562949180603,0.9819738268852234,0.9819468259811401
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,2.1,0.9833848476409912,0.9986203908920288,0.999846875667572,0.9999994039535522,0.990397036075592,0.9898456931114197
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,2.3,0.9834995865821838,0.9985960721969604,0.9998310208320618,0.9999958276748657,0.9906226396560669,0.9897944927215576
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,2.5,0.9835488200187683,0.9986650943756104,0.9999759793281555,1.0,0.9907107353210449,0.989919126033783
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,0.0,4.203895392974451e-45,5.605193857299268e-45,0.0,0.0,0.0,0.0
