run_id,series,label,M,alpha,Q_W_mean,Q_X_mean,Q_Y_mean,FIT_Y_mean,NMSE_Y_mean
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M20,M=20,20,0.0,4.203895392974451e-45,5.605193857299268e-45,0.0,0.0,1.0
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M20,M=20,20,0.3,0.010644321329891682,0.012360818684101105,0.06179160997271538,0.10861676931381226,0.8913832306861877
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M20,M=20,20,0.6,0.027872515842318535,0.029506463557481766,0.182955801486969,0.2790883183479309,0.7209116816520691
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M20,M=20,20,0.75,0.05518075451254845,0.05615827441215515,0.22282643616199493,0.31895124912261963,0.6810487508773804
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M20,M=20,20,0.85,0.06967207044363022,0.07117991149425507,0.24825143814086914,0.33959251642227173,0.6604074835777283
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M20,M=20,20,0.9,0.08917951583862305,0.09083891659975052,0.2609696090221405,0.3508259057998657,0.6491740942001343
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M20,M=20,20,0.95,0.0893799290060997,0.0908564105629921,0.2700774073600769,0.35381019115448,0.64618980884552
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M20,M=20,20,1.0,0.11701752990484238,0.11926071345806122,0.2828168272972107,0.36241453886032104,0.637585461139679
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M20,M=20,20,1.05,0.1491565704345703,0.15144482254981995,0.2970632314682007,0.3746858835220337,0.6253141164779663
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M20,M=20,20,1.1,0.1763809621334076,0.17788641154766083,0.312560111284256,0.3887651562690735,0.6112348437309265
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M20,M=20,20,1.15,0.19296811521053314,0.1947815865278244,0.3238356411457062,0.3933759927749634,0.6066240072250366
